value,synthetic_class
Classic (complete) lecithin  cholesterol acyltransferase (LCAT) deficiency,CompositeMention
Classical Phenylketonuria,SpecificDisease
Classical galactosemia,SpecificDisease
Classical phenylketonuria,SpecificDisease
Cleft palate,SpecificDisease
Coats disease,SpecificDisease
Coats telangiectasis,SpecificDisease
Coats' disease,SpecificDisease
Cohen syndrome,SpecificDisease
Color vision defects,DiseaseClass
Colorectal Cancer,SpecificDisease
Colorectal neoplasia,SpecificDisease
Combined genetic deficiency of C6 and C7,CompositeMention
Combined subtotal deficiency of C6 and C7,SpecificDisease
Complement C7 deficiency,SpecificDisease
Complement component C6 deficiency,SpecificDisease
Complement deficiency,Modifer
Complement factor 2 deficiency,SpecificDisease
Complete absence of C7,SpecificDisease
Complete hypoxanthine-guanine phosphoribosyl-transferase (HPRT) deficiency,SpecificDisease
Complex glycerol kinase deficiency,SpecificDisease
Congenital afibrinogenemia,SpecificDisease
Congenital chloride diarrhea,SpecificDisease
Cowden disease,SpecificDisease
Craniofrontonasal dysplasia,SpecificDisease
Cutaneous and ocular pigmentation,CompositeMention
DCC-negative tumors,SpecificDisease
DDS,SpecificDisease
DFNB4,SpecificDisease
DFSP,SpecificDisease
DGS,Modifer
DM,Modifer
DMD,Modifer
DMD defects,DiseaseClass
DMPK haploinsufficiency,SpecificDisease
DMS,SpecificDisease
DPD,Modifer
DPD deficiency,SpecificDisease
DRD,Modifer
DTD,SpecificDisease
DTDST chondrodysplasias,SpecificDisease
DTDST disorders,SpecificDisease
Deficiencies of C7,SpecificDisease
Deficiency of C5,SpecificDisease
Deficiency of arylsulfatase A,SpecificDisease
Deficiency of beta-hexosaminidase A,SpecificDisease
Deficiency of glucose-6-phosphate dehydrogenase,SpecificDisease
Deficiency of terminal complement components,SpecificDisease
Deficiency of the fifth component of complement,SpecificDisease
Deficiency of the murine fifth complement component (C5),SpecificDisease
Deficiency of the ninth component of human complement,SpecificDisease
Deficiency of the sixth component of human complement,SpecificDisease
Dejerine-Sottas syndrome,SpecificDisease
Denys-Drash syndrome,SpecificDisease
Dermatofibrosarcoma protuberans,SpecificDisease
DiGeorge syndrome,SpecificDisease
Dihydropyrimidine dehydrogenase (DPD) deficiency,SpecificDisease
Dmpk deficient,SpecificDisease
Dominant myotonia congenita,SpecificDisease
Duarte and Los Angeles variant galactosemia,CompositeMention
Duarte enzyme variant of galactosemia,SpecificDisease
Duchenne,Modifer
Duchenne and Becker muscular dystrophy,CompositeMention
Duchenne and the milder Becker muscular dystrophies,CompositeMention
Duchenne dystrophy,SpecificDisease
Duchenne muscular dystrophy,SpecificDisease
Duchenne or Becker muscular dystrophy,CompositeMention
Duchenne/Becker muscular dystrophy,CompositeMention
EA-2,SpecificDisease
EDM1,SpecificDisease
EDM2,SpecificDisease
EDM4,SpecificDisease
EDMD,SpecificDisease
EMD,SpecificDisease
EMDM,Modifer
EVA,SpecificDisease
Emerin deficiency,SpecificDisease
"Emerin, deficiency",SpecificDisease
Emery Dreifuss muscular dystrophy,SpecificDisease
Emery-Dreifuss muscular dystrophy,SpecificDisease
Endocrine neoplasms,DiseaseClass
Enlarged vestibular aqueduct,SpecificDisease
Epstein-Barr,Modifer
Epstein-Barr virus,SpecificDisease
Essential fructosuria,SpecificDisease
Ewing family of tumors,DiseaseClass
Ewing sarcoma,SpecificDisease
Ewing tumors,DiseaseClass
Ewings sarcoma,Modifer
Extracranial abnormalities,DiseaseClass
Eye movement abnormalities,DiseaseClass
FAP,Modifer
FAP desmoids,SpecificDisease
FAPC,SpecificDisease
FD,SpecificDisease
FED,SpecificDisease
FEO,SpecificDisease
FHC,Modifer
FHM,SpecificDisease
FMF,SpecificDisease
FMR1 deficiency,SpecificDisease
FNDI,SpecificDisease
FPC,SpecificDisease
FRDA,Modifer
FS,SpecificDisease
Fabry disease,SpecificDisease
Factor H deficiency,SpecificDisease
Factor X deficiency,SpecificDisease
Familial Mediterranean fever,SpecificDisease
Familial Melanoma,Modifer
Familial PWS,SpecificDisease
Familial adenomatous polyposis,SpecificDisease
Familial deficiency of the seventh component of complement,SpecificDisease
Familial discoid lupus erythematosus,SpecificDisease
Familial expansile osteolysis,SpecificDisease
Familial gastric cancer,SpecificDisease
Familial hypobetalipoproteinemia,SpecificDisease
Familial male breast cancer,SpecificDisease
Familial neurohypophyseal diabetes insipidus,SpecificDisease
Favism,SpecificDisease
Fish-eye disease,SpecificDisease
Fragile X syndrome,SpecificDisease
Frasier syndrome,SpecificDisease
Frataxin deficiency,SpecificDisease
Frda,Modifer
Friedreich ataxia,SpecificDisease
Friedreichs ataxia,SpecificDisease
G (M2) gangliosidosis,SpecificDisease
G(M2) gangliosidosis,SpecificDisease
G6PD A-,SpecificDisease
G6PD Seattle-like phenotype,SpecificDisease
G6PD deficiencies,SpecificDisease
G6PD deficiency,SpecificDisease
G6PD deficient,Modifer
G6PD-deficient,Modifer
GALT deficiency,SpecificDisease
GD,SpecificDisease
GD type II,Modifer
GGM,Modifer
GH,Modifer
GLD,SpecificDisease
GM1-gangliosidosis,SpecificDisease
"GM2 gangliosidosis, type 1",SpecificDisease
GPI-anchor deficiency,SpecificDisease
GRMD,SpecificDisease
GS,SpecificDisease
GTD,SpecificDisease
Galactosemia,SpecificDisease
Gardner syndrome,SpecificDisease
Gaucher disease,SpecificDisease
Genetic hemochromatosis,SpecificDisease
Glucose 6-phosphate dehydrogenase deficiency,SpecificDisease
Glucose-6-PHOSPHATE dehydrogenase (G6PD; EC 1.1. 1. 49) deficiency,SpecificDisease
Glucose-6-phosphate dehydrogenase (G6PD) deficiency,SpecificDisease
Glucose-6-phosphate dehydrogenase (G6PD; E. C. 1. 1. 1. 49) deficiency,SpecificDisease
Glucose-6-phosphate dehydrogenase (G6PD; EC 1. 1. 1. 49) -deficient,Modifer
Glucose-6-phosphate dehydrogenase (G6PD; EC 1. 1. 1. 49) deficiency,SpecificDisease
Glucose-6-phosphate dehydrogenase deficiency,SpecificDisease
Glucose/galactose malabsorption,SpecificDisease
Golden retriever muscular dystrophy,SpecificDisease
Growth retardation,DiseaseClass
H,SpecificDisease
HBL,Modifer
HC,SpecificDisease
HCP,Modifer
HD,Modifer
HEMRI,SpecificDisease
HEREDITARY MULTIFOCAL RELAPSING INFLAMMATION,SpecificDisease
HFE defect,SpecificDisease
HFE deficiency,SpecificDisease
HFE-deficient,Modifer
HH,SpecificDisease
HIV,SpecificDisease
HMS,SpecificDisease
HNPCC,Modifer
HNSHA,SpecificDisease
HPA,DiseaseClass
HPC,SpecificDisease
HPD,Modifer
HPRT deficiencies,DiseaseClass
HPRT deficient,Modifer
HPRT enzyme deficiency,SpecificDisease
HPRT-APRT-deficient,Modifer
HPRT-deficiency,SpecificDisease
HPRT-deficient,Modifer
HPT,SpecificDisease
HPT-JT,SpecificDisease
HPT-JT syndrome,SpecificDisease
HUS,SpecificDisease
Haim-Munk syndrome,SpecificDisease
Haploinsufficiency of the transcription factors FOXC1 and FOXC2,CompositeMention
Hemochromatosis,SpecificDisease
Hepatoblastoma,SpecificDisease
Hereditary C2 deficiency,SpecificDisease
Hereditary C7 deficiency,SpecificDisease
Hereditary Ovarian Cancer,Modifer
Hereditary cancers,DiseaseClass
Hereditary coproporphyria,SpecificDisease
Hereditary deficiency of the fifth component of complement,SpecificDisease
Hereditary deficiency of the third component of complement,SpecificDisease
Hereditary hemochromatosis,SpecificDisease
Hereditary hyperparathyroidism-jaw tumor syndrome,SpecificDisease
Hereditary progressive dystonia,SpecificDisease
Heterozygous C2 deficiency,SpecificDisease
Hex A deficiency,SpecificDisease
Hex A enzyme deficiency,SpecificDisease
Histidinemia,SpecificDisease
Hodgkin lymphoma,SpecificDisease
Hodgkins disease,SpecificDisease
Homozygous hypobetalipoproteinemia,SpecificDisease
Human complement factor H deficiency,SpecificDisease
Huntington disease,SpecificDisease
Hypocomplementemia,DiseaseClass
Hypomyelination,SpecificDisease
Hypopigmentation,DiseaseClass
Hypotonia,DiseaseClass
Hypoxanthine-guanine phosphoribosyltransferase deficiency,SpecificDisease
IDC,SpecificDisease
IDDM,SpecificDisease
IDMS,SpecificDisease
IF-GLD,SpecificDisease
IGT,SpecificDisease
IVF,SpecificDisease
Immune defects,DiseaseClass
Impaired glucose tolerance,SpecificDisease
Inherited colorectal polyposis,SpecificDisease
Inherited complement deficiencies,DiseaseClass
Inherited defects,DiseaseClass
JT,SpecificDisease
Juvenile retinoschisis,SpecificDisease
Kaposi sarcoma,SpecificDisease
Keratosis,SpecificDisease
Kniest dysplasia,SpecificDisease
Knobloch syndrome,SpecificDisease
Krabbe disease,SpecificDisease
L-N,Modifer
L-N syndrome,SpecificDisease
LA variant of galactosemia,SpecificDisease
LCAT deficiency,SpecificDisease
LGS,SpecificDisease
LQT3,Modifer
Langer-Giedion syndrome,SpecificDisease
Lesch-Nyhan,Modifer
Lesch-Nyhan syndrome,SpecificDisease
Li-Fraumeni syndrome,SpecificDisease
Lip pits,SpecificDisease
Lowe oculocerebrorenal syndrome,SpecificDisease
Lowe syndrome,SpecificDisease
MCF-7 tumours,DiseaseClass
MED,SpecificDisease
MEF,Modifer
MEF-amyloidosis,Modifer
MEN1,Modifer
MEN2,Modifer
MG,SpecificDisease
MHP,SpecificDisease
MJD,SpecificDisease
MLD,SpecificDisease
MPS IVA,SpecificDisease
MPS VII,Modifer
Machado-Joseph disease,SpecificDisease
Macular dystrophy,SpecificDisease
Male genital defects,DiseaseClass
Malignant neoplasms,DiseaseClass
Maternal PKU,Modifer
Maternal Phenylketonuria,Modifer
Maternal disomy,DiseaseClass
Maternal uniparental disomy (UPD) for chromosome 15,SpecificDisease
Maternal uniparental disomy for chromosome 14,SpecificDisease
McLeod,Modifer
McLeod syndrome,SpecificDisease
Mendelian disease,DiseaseClass
Meningococcal disease,SpecificDisease
Mentally retarded,Modifer
Metachromatic Leukodystrophy,SpecificDisease
Metachromatic leukodystrophy,SpecificDisease
Morphological abnormalities,DiseaseClass
Motor incoordination,DiseaseClass
Mucopolysaccharidosis IVA,SpecificDisease
Mucopolysaccharidosis type IVA,SpecificDisease
Multiple epiphyseal dysplasia,SpecificDisease
Myotonia levior,SpecificDisease
Myotonic dystrophy,SpecificDisease
NBS,SpecificDisease
ND,Modifer
NDP,Modifer
NF1,SpecificDisease
NKH,SpecificDisease
Neisseria meningitidis,SpecificDisease
Neonatal ALD,SpecificDisease
Nephropathy,SpecificDisease
Nijmegen breakage syndrome,SpecificDisease
Non-syndromic hearing loss,SpecificDisease
Normotriglyceridemic abetalipoproteinemia,SpecificDisease
Norrie,Modifer
Norrie disease,Modifer
OCRL,SpecificDisease
Ochronosis,SpecificDisease
Oedemic buccal mucosa,SpecificDisease
Ovarian Cancer,Modifer
Ovarian cancer,Modifer
Overgrowth of oral mucosa and facial skin,CompositeMention
PAH deficiencies,SpecificDisease
PAH deficiency,SpecificDisease
PAH-deficient,Modifer
PAX6 -related disease,DiseaseClass
PC Portland deficiency,SpecificDisease
PDB,SpecificDisease
PDS,Modifer
PG,SpecificDisease
PKU,SpecificDisease
PLP-associated disease,DiseaseClass
PLS,SpecificDisease
PMD,SpecificDisease
PNH,SpecificDisease
PPK,DiseaseClass
PROS1 gene defect,SpecificDisease
PROS1 gene defects,SpecificDisease
PTS1 protein-import defect,SpecificDisease
PWS,SpecificDisease
Palmoplantar keratosis,DiseaseClass
Papillary cystadenoma of the epididymis,SpecificDisease
Papillon-Lefevre syndrome,SpecificDisease
Paroxysmal nocturnal haemoglobinuria,SpecificDisease
Pediatric alveolar rhabdomyosarcoma,SpecificDisease
Pelizaeus Merzbacher disease,SpecificDisease
Pelizaeus-Merzbacher,Modifer
Pelizaeus-Merzbacher Disease,SpecificDisease
Pelizaeus-Merzbacher disease,SpecificDisease
Pelizaeus-Merzbacher disease (type II),SpecificDisease
Pelizaeus-merzbacher disease,SpecificDisease
Pendred,Modifer
Pendred syndrome,SpecificDisease
Pericentral scotomas,SpecificDisease
Peters anomaly,SpecificDisease
Peters' anomaly,SpecificDisease
Phenylketonuria,SpecificDisease
Piebaldism,SpecificDisease
Prader Willi,Modifer
Prader-Willi,Modifer
Prader-Willi and Angelman syndromes,CompositeMention
Prader-Willi and angelman syndromes,CompositeMention
Prader-Willi syndrome,SpecificDisease
Prader-willi syndrome,SpecificDisease
Primary dystonias,DiseaseClass
Progressive Tapeto-Choroidal Dystrophy,SpecificDisease
Prostate Cancer,Modifer
Prostate cancer,SpecificDisease
Protein S deficiency,SpecificDisease
Pyle disease,SpecificDisease
RB tumors,SpecificDisease
RCC,SpecificDisease
RCC cancer,Modifer
RCC- and von Hippel-Lindau disease-associated tumors,CompositeMention
Renal amyloidosis,SpecificDisease
Renal cell carcinomas,SpecificDisease
Retinoblastoma,SpecificDisease
Retinoschisis,Modifer
Rheumatic Diseases,DiseaseClass
SCA1,SpecificDisease
SCA2,SpecificDisease
SCA3,SpecificDisease
SCA6,SpecificDisease
SIX5 deficiency,SpecificDisease
SJS,SpecificDisease
SJS  type 1A,SpecificDisease
SJS type 2,SpecificDisease
SLS,SpecificDisease
SPG,SpecificDisease
SWS,SpecificDisease
Saethre-Chotzen syndrome,SpecificDisease
"Saethre-Chotzen, Crouzon, and Pfeiffer syndromes",CompositeMention
Schwartz-Jampel chondrodystrophic myotonia,SpecificDisease
Schwartz-Jampel syndrome,SpecificDisease
Schwartz-Jampel syndrome type 2,SpecificDisease
Severe von Willebrand disease,SpecificDisease
Severe-glucose-6-phosphate dehydrogenase (G6PD) deficiency,SpecificDisease
Sjogren-Larsson syndrome,SpecificDisease
Skin fragility,DiseaseClass
Spinal xanthomatosis,SpecificDisease
Spinocerebellar ataxia type-3,SpecificDisease
Sporadic cerebellar haemangioblastoma,SpecificDisease
Sporadic prostate carcinoma,SpecificDisease
Sporadic renal cell carcinomas,SpecificDisease
Stuve-Wiedemann syndrome,SpecificDisease
T-PLL,SpecificDisease
T-cell large cell lymphoma,SpecificDisease
T-cell lymphoma,SpecificDisease
T-cell lymphomas,SpecificDisease
TCD,SpecificDisease
TRPS,SpecificDisease
TS,SpecificDisease
TSD,Modifer
Tay-Sachs,Modifer
Tay-Sachs disease,SpecificDisease
Terminal complement component deficiency,SpecificDisease
Thomsens disease,SpecificDisease
Total deficiency of plasma cholesteryl ester transfer protein,SpecificDisease
Tourette syndrome,SpecificDisease
Trisomy 15,SpecificDisease
Tumor,Modifer
Type I C2 deficiency,SpecificDisease
Type I human complement C2 deficiency,SpecificDisease
Type I von Willebrand disease,SpecificDisease
Type II ALD,SpecificDisease
Type II C2 deficiency,SpecificDisease
Type II complement protein C2 deficiency,SpecificDisease
Type II deficiency,SpecificDisease
Type II human complement C2 deficiency,SpecificDisease
UPD,SpecificDisease
Uniparental disomy,DiseaseClass
VCFS,Modifer
VHL,Modifer
VHL cancer syndrome,SpecificDisease
VHL disease,SpecificDisease
VHL gene abnormality,SpecificDisease
VHL tumor,Modifer
VLCAD deficiency,SpecificDisease
VLCAD-deficient,Modifer
VWS,SpecificDisease
Van der Woude syndrome,SpecificDisease
Ventricular fibrillation,SpecificDisease
Very long chain acyl-CoA dehydrogenase (VLCAD) deficiency,SpecificDisease
Very-long-chain acyl-coenzyme A dehydrogenase (VLCAD) deficiency,SpecificDisease
Von Hippel-Lindau (VHL) disease,SpecificDisease
Von Hippel-Lindau disease,SpecificDisease
WAGR,Modifer
WAGR contiguous gene syndrome,SpecificDisease
WAS,Modifer
WD,SpecificDisease
WFS,Modifer
WND,SpecificDisease
WT,SpecificDisease
WT1 dysfunction,SpecificDisease
WT1 gene abnormality,SpecificDisease
Waardenburg syndrome,SpecificDisease
Wilms tumor,SpecificDisease
Wilms tumorigenesis,SpecificDisease
Wilms tumors,SpecificDisease
Wilms tumour,SpecificDisease
Wilms' tumor,Modifer
Wilms' tumour,Modifer
Wilson disease,SpecificDisease
Wiskott-Aldrich defect,SpecificDisease
Wiskott-Aldrich syndrome,SpecificDisease
Wolfram syndrome,SpecificDisease
Wolman disease,SpecificDisease
Wt1 dysfunction,SpecificDisease
X chromosome-linked human disease,DiseaseClass
X linked Norrie disease,SpecificDisease
X linked recessive thrombocytopenia,SpecificDisease
X linked recessive thrombocytopenic disorder,SpecificDisease
X-ALD,SpecificDisease
X-Linked adrenoleukodystrophy,SpecificDisease
X-linked Adrenoleukodystrophy,SpecificDisease
X-linked Duchenne muscular dystrophy,Modifer
X-linked EMD,SpecificDisease
X-linked Emery-Dreifuss muscular dystrophy,SpecificDisease
X-linked G6PD deficiency,SpecificDisease
X-linked Pelizaeus-Merzbacher disease,SpecificDisease
X-linked Wiskott-Aldrich syndrome,SpecificDisease
X-linked adrenoleukodystrophy,SpecificDisease
X-linked agammaglobulinemia,SpecificDisease
X-linked amelogenesis imperfecta,SpecificDisease
X-linked congenital thrombocytopenia,SpecificDisease
X-linked developmental defect of myelination,DiseaseClass
X-linked dilated cardiomyopathy,SpecificDisease
X-linked disease,DiseaseClass
X-linked diseases,DiseaseClass
X-linked disorder,DiseaseClass
X-linked disorders,DiseaseClass
X-linked dysmyelinating disorder,DiseaseClass
X-linked dystonia parkinsonism syndrome,SpecificDisease
X-linked glucose-6-phosphate dehydrogenase (G6PD) deficiency,SpecificDisease
X-linked glucose-6-phosphate dehydrogenase deficiency,SpecificDisease
X-linked immunodeficiency Wiskott-Aldrich syndrome,SpecificDisease
X-linked immunodeficiency disease,DiseaseClass
X-linked inborn error of glycosphingolipid metabolism,DiseaseClass
X-linked inherited metabolic disorder,DiseaseClass
X-linked mental retardation,DiseaseClass
X-linked multisystem disorder,DiseaseClass
X-linked neurodevelopmental disorder,DiseaseClass
X-linked neurologic disorder of myelin metabolism,DiseaseClass
X-linked progressive degeneration of the choroid and retina,DiseaseClass
X-linked recessive Emery-Dreifuss muscular dystrophy,SpecificDisease
X-linked recessive disease,DiseaseClass
X-linked recessive disorder,DiseaseClass
X-linked recessive genetic disorder,DiseaseClass
X-linked recessive immunodeficiency,DiseaseClass
X-linked recessive muscular dystrophy,DiseaseClass
X-linked recessive neurological disorder,DiseaseClass
X-linked retinoschisis,SpecificDisease
X-linked sensorineural deafness,DiseaseClass
X-linked spastic paraplegia,SpecificDisease
X-linked thrombocytopenia,SpecificDisease
XAI,SpecificDisease
XAI disease,SpecificDisease
XLDCM,SpecificDisease
XLRS,SpecificDisease
XLT,SpecificDisease
Zellweger spectrum of disease,DiseaseClass
Zellweger syndrome,Modifer
Zellwegers cerebrohepatorenal syndrome,SpecificDisease
Zellwegers syndrome,SpecificDisease
abetalipoproproteinemia,SpecificDisease
abetalipoproteinemia,SpecificDisease
abnormal color vision,DiseaseClass
abnormal retinal vascular development,DiseaseClass
abnormalities in brain development,DiseaseClass
abnormalities in the bilateral cerebellar hemispheres,DiseaseClass
abnormalities in the vision blindness genes,DiseaseClass
"abnormalities of eyes, nervous system, and kidneys",CompositeMention
abnormalities of skeletal muscle function,DiseaseClass
abnormality in fatty alcohol metabolism,DiseaseClass
abnormality of CYP27,SpecificDisease
absence of deep tendon reflexes,DiseaseClass
absence of functional C7,Modifer
absence of hypoxanthine-guanine phosphoribosyltransferase (HPRT) activity,SpecificDisease
absence of iris,SpecificDisease
absence of the seventh component of complemen,SpecificDisease
absence of the sixth component of complement,SpecificDisease
acanthocytosis,SpecificDisease
achondrogenesis 1B,SpecificDisease
achondrogenesis type 1B,SpecificDisease
acro-osteolysis,SpecificDisease
acute anterior uveitis,SpecificDisease
acute leukemia,SpecificDisease
acute meningococcal meningitis,SpecificDisease
acute myeloid leukemia,SpecificDisease
acute radiation toxicity,SpecificDisease
acute renal disease,SpecificDisease
adenoma,DiseaseClass
adenomas,DiseaseClass
adenomatous polyposis coli,Modifer
adenomatous polyposis coli (APC) tumor,Modifer
adenomatous polyposis coli (APC) tumour,Modifer
adenomatous polyposis coli tumour,Modifer
adenomatous polyps,DiseaseClass
adenomatous polyps in the colon,SpecificDisease
adenomatous polyps of the colon and rectum,CompositeMention
adenovirus infection,SpecificDisease
adipose tissue inflammation,SpecificDisease
adolescent ALD,SpecificDisease
adolescent cerebral ALD,SpecificDisease
adrenal cortical insufficiency,DiseaseClass
adrenal insufficiency,DiseaseClass
adrenocorotical carcinoma,SpecificDisease
adrenocortical carcinoma,SpecificDisease
adrenocortical insufficiency,DiseaseClass
adrenocortical tumors,SpecificDisease
adrenocrotical insufficiency,DiseaseClass
adrenoleukodystrophy,SpecificDisease
adrenoleukodystrophy protein deficiency,SpecificDisease
adrenomyeloneuropathy,SpecificDisease
adult MLD,Modifer
adult onset globoid cell leukodystrophy,SpecificDisease
adult renal hamartomas,SpecificDisease
advanced prostate cancer,SpecificDisease
advanced prostate cancers,SpecificDisease
advanced-stage hereditary cancer,Modifer
affective disorders,DiseaseClass
afibrinogenemia,Modifer
aku,SpecificDisease
alkaptonuria,Modifer
allelic disorders,DiseaseClass
alpha-Gal A deficiency,SpecificDisease
alpha-galactosidase deficiency,SpecificDisease
alveolar rhabdomyosarcoma,SpecificDisease
amelogenesis imperfecta,DiseaseClass
amyloidosis,DiseaseClass
amyloidotic kidney disease,SpecificDisease
analbuminemia,SpecificDisease
anemia,DiseaseClass
anencephaly,SpecificDisease
aneuploidy,SpecificDisease
angioedema,SpecificDisease
angiokeratoma,SpecificDisease
angiokeratoma corporis diffusum,SpecificDisease
anhaptoglobinemia,SpecificDisease
aniridia,SpecificDisease
ankle contractures,DiseaseClass
ankle edema,DiseaseClass
ankylosing spondylitis,SpecificDisease
anophthalmia,SpecificDisease
anosmia,SpecificDisease
anterior segment abnormalities,DiseaseClass
anterior segment anomalies,DiseaseClass
anterior segment defects,DiseaseClass
anterior segment malformations,DiseaseClass
anxiety,DiseaseClass
anxiety-related personality traits,DiseaseClass
anxiety-related traits,DiseaseClass
aortic rupture,SpecificDisease
aplasia or hypoplasia of the thymus and parathyroid glands,CompositeMention
arachnodactyly,SpecificDisease
arginine vasopressin (AVP) deficiency,SpecificDisease
argininemia,SpecificDisease
arterial hypotension,DiseaseClass
arthralgia,DiseaseClass
arthralgias,DiseaseClass
arthritis,DiseaseClass
arthropathy,SpecificDisease
aspartylglucosaminuria,SpecificDisease
ataxia telangiectasia,SpecificDisease
ataxia-telangiectasia,Modifer
ataxia-telangiectasia-like disorder,SpecificDisease
atelosteogenesis 2,SpecificDisease
atelosteogenesis type 2,SpecificDisease
atherogenesis,DiseaseClass
atherosclerosis,SpecificDisease
atherosclerotic cardiovascular disease,SpecificDisease
atherosclerotic symptoms,DiseaseClass
atopic dermatitis,SpecificDisease
atrophic benign epidermolysis bullosa,SpecificDisease
atrophic changes of the nails,SpecificDisease
atrophy,SpecificDisease
atrophy of the retinal pigment epithelium,SpecificDisease
attenuated APC,Modifer
attenuated FAP,Modifer
