,pubmed_id,value,class,id_ontology
92,10090880,serositis,DiseaseClass,D012700
93,10090880,synovitis,DiseaseClass,D013585
94,10090880,FMF,Modifier,D010505
95,10090880,FMF,SpecificDisease,D010505
96,10090880,FMF,SpecificDisease,D010505
100,10090885,Autoimmune lymphoproliferative syndrome,SpecificDisease,D056735
101,10090885,Autoimmune lymphoproliferative syndrome,SpecificDisease,D056735
102,10090885,ALPS,SpecificDisease,D056735
104,10090885,ALPS,Modifier,D056735
105,10090885,ALPS,SpecificDisease,D056735
106,10090885,ALPS,Modifier,D056735
107,10090885,ALPS,Modifier,D056735
108,10090885,ALPS,Modifier,D056735
109,10090885,ALPS,SpecificDisease,D056735
113,10190819,X-linked adrenoleukodystrophy,SpecificDisease,D000326
114,10190819,X-linked adrenoleukodystrophy,SpecificDisease,D000326
115,10190819,ALD,SpecificDisease,D000326
116,10190819,inherited disease,DiseaseClass,D030342
117,10190819,neurologic dysfunction,SpecificDisease,D009461
118,10190819,adrenal insufficiency,DiseaseClass,D000309
119,10190819,ALD,SpecificDisease,D000326
120,10190819,childhood cerebral ALD,SpecificDisease,D000326
121,10190819,neurologic deterioration,DiseaseClass,D009461
122,10190819,cerebral ALD,SpecificDisease,D000326
123,10190819,neurologic dysfunction,DiseaseClass,D009461
124,10190819,adrenomyeloneuropathy,SpecificDisease,D000326
125,10190819,Addison disease,SpecificDisease,D000224
126,10190819,ALD,SpecificDisease,D000326
127,10190819,childhood cerebral ALD,SpecificDisease,D000326
128,10190819,cerebral ALD,SpecificDisease,D000326
129,10190819,adrenomyeloneuropathy,SpecificDisease,D000326
130,10190819,ALD,SpecificDisease,D000326
131,10190819,cerebral ALD,SpecificDisease,D000326
132,10190819,ALD,Modifier,D000326
133,10190819,ALD,SpecificDisease,D000326
134,10190819,ALD,SpecificDisease,D000326
138,6859721,Absence of the seventh component of complement,SpecificDisease,OMIM:610102
139,6859721,chronic meningococcemia,SpecificDisease,D008589
140,6859721,vasculitis,SpecificDisease,D014657
141,6859721,fever,SpecificDisease,D005334
142,6859721,arthritis,SpecificDisease,D001168
143,6859721,cutaneous vasculitis,SpecificDisease,D018366
144,6859721,chronic meningococcemia,SpecificDisease,D008589
145,6859721,deficiency of the seventh component of complement,SpecificDisease,OMIM:610102
146,6859721,deficiency of C7,SpecificDisease,OMIM:610102
147,6859721,Chronic neisserial infection,SpecificDisease,D016870
148,6859721,C7 deficiency,SpecificDisease,OMIM:610102
149,6859721,cutaneous vasculitis,SpecificDisease,D018366
153,10071185,dihydropyrimidine dehydrogenase deficiency,SpecificDisease,D054067
154,10071185,Dihydropyrimidine dehydrogenase (DPD) deficiency,SpecificDisease,D054067
155,10071185,autosomal recessive disease,DiseaseClass,D030342
156,10071185,DPD deficiency,SpecificDisease,D054067
157,10071185,deficiency of DPD,SpecificDisease,D054067
158,10071185,DPD,Modifier,D054067
159,10071185,convulsive disorders,DiseaseClass,D004829
160,10071185,motor retardation,DiseaseClass,D019957
161,10071185,mental retardation,DiseaseClass,D008607
162,10071185,clinical abnormalities,DiseaseClass,D013568
163,10071185,DPD deficiency,SpecificDisease,D054067
167,1323345,glucose-6-phosphate dehydrogenase (G6PD) deficiency,SpecificDisease,D005955
168,1323345,G6PD deficiency,SpecificDisease,D005955
169,1323345,glucose-6-phosphate dehydrogenase (G6PD) deficiency,SpecificDisease,D005955
170,1323345,G6PD deficiency,SpecificDisease,D005955
171,1323345,G6PD deficiency,SpecificDisease,D005955
175,2828430,Homozygous hypobetalipoproteinemia,SpecificDisease,D006995
176,2828430,abetalipoproproteinemia,SpecificDisease,D000012
177,2828430,homozygous hypobetalipoproteinemia,SpecificDisease,D006995
178,2828430,HBL,SpecificDisease,D006995
179,2828430,HBL,Modifier,D006995
180,2828430,HBL,Modifier,D006995
181,2828430,HBL,Modifier,D006995
182,2828430,HBL,Modifier,D006995
183,2828430,abetalipoproteinemia,SpecificDisease,D000012
187,10471457,hemochromatosis,Modifier,D006432
188,10471457,Hereditary hemochromatosis,SpecificDisease,D006432
189,10471457,hemochromatosis,Modifier,D006432
190,10471457,excess iron deposits,DiseaseClass,D019190
191,10471457,hemochromatosis,SpecificDisease,D006432
192,10471457,hepatic fibrosis,DiseaseClass,D008103
193,10471457,excessive alcohol consumption,SpecificDisease,D000435
194,10471457,cirrhosis,DiseaseClass,D008103
195,10471457,microvesicular steatosis,SpecificDisease,D005234
196,10471457,hereditary hemochromatosis,SpecificDisease,D006432
197,10471457,hepatomegaly,DiseaseClass,D006529
198,10471457,skin pigmentation,DiseaseClass,D010859
199,10471457,arthritis,DiseaseClass,D001168
200,10471457,hemochromatosis,SpecificDisease,D006432
204,7574457,Pelizaeus-Merzbacher disease,SpecificDisease,OMIM:312080
205,7574457,Pelizaeus-Merzbacher disease,SpecificDisease,OMIM:312080
206,7574457,"rare, sex-linked recessive, dysmyelinating disease of the central nervous system",DiseaseClass,D020279+D035583
207,7574457,Pelizaeus-Merzbacher disease,SpecificDisease,OMIM:312080
208,7574457,Pelizaeus-Merzbacher disease,SpecificDisease,OMIM:312080
209,7574457,Pelizaeus-Merzbacher disease,SpecificDisease,OMIM:312080
213,10466420,diastrophic dysplasia,SpecificDisease,C536170
214,10466420,chondrodysplasias,DiseaseClass,D010009
215,10466420,diastrophic dysplasia,SpecificDisease,C536170
216,10466420,platyspondyly,DiseaseClass,D013122
217,10466420,metatropic dysplasia,SpecificDisease,C537356
221,1676565,Pelizaeus-Merzbacher disease,SpecificDisease,OMIM:312080
222,1676565,X-linked Pelizaeus-Merzbacher disease,SpecificDisease,OMIM:312080
223,1676565,PMD,SpecificDisease,OMIM:312080
224,1676565,PMD,SpecificDisease,OMIM:312080
228,1776638,Gardner syndrome,SpecificDisease,D005736
229,1776638,Gardner syndrome,SpecificDisease,D005736
230,1776638,GS,SpecificDisease,D005736
231,1776638,mental retardation,DiseaseClass,D008607
232,1776638,craniofacial abnormalities,DiseaseClass,D019465
233,1776638,adenomatous polyposis coli,SpecificDisease,D011125
234,1776638,GS,SpecificDisease,D005736
235,1776638,familial polyposis coli,SpecificDisease,D011125
236,1776638,FPC,SpecificDisease,D011125
240,1577763,Type I human complement C2 deficiency,SpecificDisease,OMIM:217000
241,1577763,deficiency of complement protein C2,SpecificDisease,OMIM:217000
242,1577763,Type I C2 deficiency,SpecificDisease,OMIM:217000
243,1577763,C2-deficient,Modifier,OMIM:217000
244,1577763,type I C2 deficiency,SpecificDisease,OMIM:217000
245,1577763,type I C2-deficient,Modifier,OMIM:217000
246,1577763,type II C2-deficient,Modifier,OMIM:217000
247,1577763,type I human complement C2 deficiency,SpecificDisease,OMIM:217000
248,1577763,C2-deficient,Modifier,OMIM:217000
249,1577763,type II C2 deficiency,SpecificDisease,OMIM:217000
250,1577763,genetic defect,DiseaseClass,D030342
254,10767339,FMR1 deficiency,SpecificDisease,OMIM:300624
255,10767339,Fragile X syndrome,SpecificDisease,D005600
256,10767339,mental retardation,DiseaseClass,D008607
257,10767339,macroorchidism,SpecificDisease,D005600
258,10767339,fragile X syndrome,SpecificDisease,D005600
259,10767339,fragile X,Modifier,D005600
260,10767339,anxiety,Modifier,D001008
261,10767339,fragile X syndrome,SpecificDisease,D005600
265,10208848,Fabry disease,SpecificDisease,D000795
266,10208848,Fabry disease,SpecificDisease,D000795
267,10208848,FD,SpecificDisease,D000795
268,10208848,angiokeratoma corporis diffusum,SpecificDisease,D000795
269,10208848,X-linked inborn error of glycosphingolipid metabolism,DiseaseClass,D008052
270,10208848,angiokeratoma,SpecificDisease,D000794
271,10208848,severe acroparesthesia,SpecificDisease,D010292
272,10208848,renal failure,SpecificDisease,D051437
274,10208848,alpha-galactosidase deficiency,SpecificDisease,D000795
275,10208848,alpha-Gal A deficiency,SpecificDisease,D000795
276,10208848,FD,SpecificDisease,D000795
280,8533768,bipolar disorder,SpecificDisease,D001714
281,8533768,bipolar affective disorder,SpecificDisease,D001714
282,8533768,BPAD,SpecificDisease,D001714
283,8533768,BPAD,Modifier,D001714
284,8533768,BPAD,SpecificDisease,D001714
288,8531967,breast cancer,SpecificDisease,D001943
290,8531967,breast cancer,SpecificDisease,D001943
291,8531967,breast cancer,SpecificDisease,D001943
292,8531967,breast cancer,SpecificDisease,D001943
293,8531967,breast cancer,SpecificDisease,D001943
295,8531967,breast cancer,SpecificDisease,D001943
300,10915776,X-linked retinoschisis,Modifier,D041441
301,10915776,X-linked retinoschisis,SpecificDisease,D041441
302,10915776,visual deterioration,DiseaseClass,C531604
303,10915776,retinoblastoma,Modifier,D012175
304,10915776,X-linked retinoschisis,SpecificDisease,D041441
305,10915776,retinal dystrophy,DiseaseClass,D058499
309,1302003,CHM,Modifier,D015794
310,1302003,choroideremia,SpecificDisease,D015794
311,1302003,Choroideremia,SpecificDisease,D015794
312,1302003,CHM,SpecificDisease,D015794
313,1302003,X-linked progressive degeneration of the choroid and retina,DiseaseClass,D015785
314,1302003,CHM,Modifier,D015794
315,1302003,CHM,Modifier,D015794
316,1302003,CHM,Modifier,D015794
317,1302003,CHM,Modifier,D015794
318,1302003,CHM,Modifier,D015794
322,7811247,X-linked adrenoleukodystrophy,SpecificDisease,D000326
323,7811247,ALD,SpecificDisease,D000326
324,7811247,ALD,Modifier,D000326
325,7811247,adrenoleukodystrophy,Modifier,D000326
326,7811247,ALD,Modifier,D000326
327,7811247,adolescent ALD,SpecificDisease,D000326
328,7811247,ALD,Modifier,D000326
329,7811247,cerebral ALD,SpecificDisease,D000326
330,7811247,adrenomyeloneuropathy,SpecificDisease,D000326
331,7811247,Addison only,SpecificDisease,D000224
332,7811247,ALD,Modifier,D000326
336,2352258,von Hippel-Lindau disease,SpecificDisease,D006623
337,2352258,sporadic cerebellar haemangioblastoma,SpecificDisease,D018325
338,2352258,renal cell carcinoma,SpecificDisease,D002292
340,2352258,hereditary tumours,DiseaseClass,D009386
341,2352258,sporadic tumours,DiseaseClass,D009369
342,2352258,sporadic renal cell carcinoma,SpecificDisease,D002292
343,2352258,renal cell carcinoma,SpecificDisease,D002292
344,2352258,cerebellar haemangioblastoma,SpecificDisease,D018325
345,2352258,von Hippel-Lindau (VHL) disease,SpecificDisease,D006623
346,2352258,sporadic renal cell carcinoma,SpecificDisease,D002292
347,2352258,sporadic cerebellar haemangioblastoma,SpecificDisease,D018325
348,2352258,renal cell carcinoma,SpecificDisease,D002292
349,2352258,cerebellar haemangioblastoma,SpecificDisease,D018325
350,2352258,VHL disease,SpecificDisease,D006623
351,2352258,sporadic renal cell carcinoma,SpecificDisease,D002292
352,2352258,cerebellar haemangioblastoma,SpecificDisease,D018325
353,2352258,VHL,Modifier,D006623
354,2352258,tumour,Modifier,D009369
355,2352258,Sporadic cerebellar haemangioblastoma,SpecificDisease,D018325
356,2352258,renal cell carcinoma,SpecificDisease,D002292
357,2352258,VHL,Modifier,D006623
361,10364518,Lowe syndrome,SpecificDisease,D009800
362,10364518,oculocerebrorenal syndrome of Lowe,SpecificDisease,D009800
363,10364518,OCRL,SpecificDisease,D009800
364,10364518,X-linked disorder,DiseaseClass,D040181
366,10364518,OCRL,SpecificDisease,D009800
367,10364518,Lowe syndrome,Modifier,D009800
371,10449429,Duchenne muscular dystrophy,SpecificDisease,D020388
372,10449429,DMD,SpecificDisease,D020388
373,10449429,DMD,SpecificDisease,D020388
374,10449429,muscular injury,DiseaseClass,D014947
375,10449429,muscular dystrophy,SpecificDisease,D009136
376,10449429,DMD,SpecificDisease,D020388
380,1939657,metabolic disorder,DiseaseClass,D008659
381,1939657,normotriglyceridemic abetalipoproteinemia,SpecificDisease,D000012
382,1939657,normotriglyceridemic abetalipoproteinemia,SpecificDisease,D000012
383,1939657,homozygous hypobetalipoproteinemia,SpecificDisease,D006995
387,1409710,von Willebrand disease type B,SpecificDisease,D014842
388,1409710,von Willebrand,Modifier,D014842
389,1409710,von Willebrand,Modifier,D014842
390,1409710,von Willebrand disease type B,SpecificDisease,D014842
391,1409710,von Willebrand disease type B,SpecificDisease,D014842
392,1409710,von Willebrand disease type B,SpecificDisease,D014842
396,8554067,breast-ovarian cancer,Modifier,D061325
397,8554067,breast-ovarian cancer,Modifier,D061325
398,8554067,breast and ovarian cancer,Modifier,D061325
399,8554067,male breast cancer,SpecificDisease,D018567
400,8554067,breast-ovarian syndrome,SpecificDisease,D061325
404,8244393,autosomal recessive disease glucose/galactose malabsorption,SpecificDisease,OMIM:606824
405,8244393,genetic diseases,DiseaseClass,D030342
409,1384323,Tay-Sachs,Modifier,D013661
410,1384323,Deficiency of beta-hexosaminidase A,SpecificDisease,D013661
411,1384323,Tay-Sachs disease,SpecificDisease,D013661
412,1384323,deficient in Hex A,SpecificDisease,D013661
413,1384323,Tay-Sachs disease,Modifier,D013661
414,1384323,Tay-Sachs disease,Modifier,D013661
415,1384323,Tay-Sachs disease,Modifier,D013661
416,1384323,Tay-Sachs disease,Modifier,D013661
420,1307230,Tay-Sachs disease,Modifier,D013661
421,1307230,Tay-Sachs disease,SpecificDisease,D013661
422,1307230,TSD,SpecificDisease,D013661
423,1307230,TSD,Modifier,D013661
424,1307230,TSD,Modifier,D013661
425,1307230,TSD,Modifier,D013661
429,8088831,Canavan disease,SpecificDisease,D017825
430,8088831,Canavan disease,SpecificDisease,D017825
431,8088831,spongy degeneration of the brain,SpecificDisease,D017825
432,8088831,leukodystrophy,SpecificDisease,D007966
433,8088831,deficiency of aspartoacylase,SpecificDisease,D017825
434,8088831,Canavan disease,SpecificDisease,D017825
435,8088831,Canavan disease,SpecificDisease,D017825
439,6524872,Adrenoleukodystrophy,SpecificDisease,D000326
440,6524872,Adrenoleukodystrophy,SpecificDisease,D000326
441,6524872,ALD,SpecificDisease,D000326
442,6524872,progressive central demyelination,DiseaseClass,D003711
443,6524872,adrenal cortical insufficiency,DiseaseClass,D000309
444,6524872,ALD,SpecificDisease,D000326
445,6524872,Zellwegers cerebrohepatorenal syndrome,SpecificDisease,D015211
446,6524872,peroxisomal disorders,DiseaseClass,D018901
447,6524872,ALD,SpecificDisease,D000326
448,6524872,ALD,SpecificDisease,D000326
449,6524872,adrenomyeloneuropathy,SpecificDisease,D000326
450,6524872,Neonatal ALD,SpecificDisease,OMIM:202370
451,6524872,Zellwegers syndrome,SpecificDisease,D015211
452,6524872,ALD,SpecificDisease,D000326
456,10441343,Machado-Joseph disease,Modifier,D017827
457,10441343,trinucleotide repeat disorders,DiseaseClass,D030342
458,10441343,Machado-Joseph disease,SpecificDisease,D017827
459,10441343,MJD,SpecificDisease,D017827
460,10441343,MJD,Modifier,D017827
461,10441343,MJD,Modifier,D017827
465,3346018,DMD,Modifier,D020388
466,3346018,DMD,Modifier,D020388
467,3346018,Duchenne muscular dystrophy,SpecificDisease,D020388
468,3346018,DMD,SpecificDisease,D020388
469,3346018,DMD,Modifier,D020388
473,8188241,alkaptonuria,SpecificDisease,D000474
474,8188241,AKU,SpecificDisease,D000474
475,8188241,Alkaptonuria,SpecificDisease,D000474
476,8188241,AKU,SpecificDisease,D000474
477,8188241,autosomal recessive disorder,DiseaseClass,D030342
478,8188241,Ochronosis,SpecificDisease,D009794
479,8188241,ochronotic arthropathy,SpecificDisease,D009794+D007592
480,8188241,alkaptonuria,SpecificDisease,D000474
481,8188241,alkaptonuria,Modifier,D000474
485,1317264,APC,Modifier,D011125
486,1317264,familial adenomatous polyposis,SpecificDisease,D011125
487,1317264,gastric cancer,SpecificDisease,D013274
488,1317264,gastric cancer,SpecificDisease,D013274
489,1317264,cancer,DiseaseClass,D009369
490,1317264,gastric cancers,SpecificDisease,D013274
491,1317264,adenomatous polyposis coli,Modifier,D011125
492,1317264,APC,Modifier,D011125
493,1317264,adenomatous polyps in the colon,SpecificDisease,D018256
494,1317264,gastric cancer,SpecificDisease,D013274
495,1317264,gastric cancers,SpecificDisease,D013274
496,1317264,APC,Modifier,D011125
497,1317264,tumors,DiseaseClass,D009369
498,1317264,tumors,DiseaseClass,D009369
499,1317264,APC,Modifier,D011125
500,1317264,gastric cancers,SpecificDisease,D013274
504,10083734,C9 deficiency,Modifier,OMIM:613825
505,10083734,Deficiency of the ninth component of human complement,SpecificDisease,OMIM:613825
506,10083734,complement deficiency,DiseaseClass,D007153
507,10083734,C9 deficiency,SpecificDisease,OMIM:613825
508,10083734,C9 deficiency,SpecificDisease,OMIM:613825
509,10083734,C9 deficiency,SpecificDisease,OMIM:613825
513,2760209,Lesch-Nyhan,Modifier,D007926
514,2760209,Lesch-Nyhan syndrome,SpecificDisease,D007926
515,2760209,hypoxanthine phosphoribosyltransferase [HPRT] deficiency,SpecificDisease,D007926
519,10323252,X-linked Emery-Dreifuss muscular dystrophy,SpecificDisease,D020389
520,10323252,Emery-Dreifuss muscular dystrophy,SpecificDisease,D020389
521,10323252,EDMD,SpecificDisease,D020389
522,10323252,X-linked recessive muscular dystrophy,DiseaseClass,D040181+D009136
524,10323252,muscle wasting,DiseaseClass,D009133
525,10323252,weakness,DiseaseClass,D018908
526,10323252,cardiomyopathy,SpecificDisease,D009202
527,10323252,cardiac conduction defects,SpecificDisease,OMIM:115080
528,10323252,EDMD,SpecificDisease,D020389
529,10323252,EDMD,Modifier,D020389
530,10323252,EDMD,Modifier,D020389
531,10323252,elbow contractures,SpecificDisease,D003286
532,10323252,ankle contractures,SpecificDisease,D003286
533,10323252,upper limb weakness,SpecificDisease,D018908
534,10323252,lower limb weakness,SpecificDisease,D018908
535,10323252,cardiac involvement,DiseaseClass,D006331
536,10323252,EDMD,SpecificDisease,D020389
540,7795653,sporadic breast cancer,Modifier,D001943
541,7795653,familial breast and ovarian cancer,Modifier,D061325
542,7795653,non-hereditary (sporadic) breast cancer,SpecificDisease,D001943
543,7795653,carcinoma in situ,DiseaseClass,D002278
544,7795653,invasive cancer,DiseaseClass,D009362
545,7795653,breast cancer,SpecificDisease,D001943
549,10827108,Pelizaeus-Merzbacher disease,SpecificDisease,OMIM:312080
550,10827108,Pelizaeus-Merzbacher disease,SpecificDisease,OMIM:312080
551,10827108,PMD,SpecificDisease,OMIM:312080
552,10827108,PMD,SpecificDisease,OMIM:312080
553,10827108,PMD,SpecificDisease,OMIM:312080
554,10827108,genetic disorders,DiseaseClass,D030342
558,1975560,myotonic dystrophy,SpecificDisease,D009223
559,1975560,myotonic dystrophy,SpecificDisease,D009223
560,1975560,DM,SpecificDisease,D009223
564,10737981,GM1-gangliosidosis,Modifier,D016537
565,10737981,cardiac involvement,SpecificDisease,D006331
566,10737981,GM1-gangliosidosis,SpecificDisease,D016537
567,10737981,lysosomal storage disorder,DiseaseClass,D016464
568,10737981,deficiency of acid beta-galactosidase,SpecificDisease,D016537
569,10737981,cardiac involvement,DiseaseClass,D006331
570,10737981,GM1-gangliosidosis,SpecificDisease,D016537
571,10737981,cardiac involvement,DiseaseClass,D006331
572,10737981,cardiac abnormalities,DiseaseClass,D018376
573,10737981,genetic lesions,DiseaseClass,D020022
574,10737981,cardiomyopathy,DiseaseClass,D009202
578,1679035,familial Mediterranean fever,SpecificDisease,D010505
579,1679035,familial Mediterranean fever,SpecificDisease,D010505
580,1679035,FMF,SpecificDisease,D010505
581,1679035,FMF,Modifier,D010505
582,1679035,FMF,SpecificDisease,D010505
583,1679035,FMF,Modifier,D010505
587,10802667,deficient in Six5,SpecificDisease,D030342
588,10802667,cataracts,SpecificDisease,D002386
589,10802667,myotonic dystrophy,SpecificDisease,D009223
590,10802667,myotonic dystrophy,SpecificDisease,D009223
591,10802667,dominantly inherited disease,DiseaseClass,D030342
592,10802667,muscle dystrophy,SpecificDisease,D009136
593,10802667,myotonia,DiseaseClass,D009222
594,10802667,cataracts,SpecificDisease,D002386
595,10802667,cardiac conduction defects,DiseaseClass,OMIM:115080
596,10802667,myopathy,DiseaseClass,D009135
597,10802667,cardiac conduction abnormalities,DiseaseClass,D006327
598,10802667,myotonic dystrophy,SpecificDisease,D009223
599,10802667,myotonia,DiseaseClass,D009222
600,10802667,cataracts,SpecificDisease,D002386
601,10802667,SIX5 deficiency,SpecificDisease,D030342
602,10802667,myotonic dystrophy,Modifier,D009223
603,10802667,abnormalities of skeletal muscle function,DiseaseClass,D009139
604,10802667,lenticular opacities,SpecificDisease,D002386
605,10802667,SIX5 deficiency,SpecificDisease,D030342
606,10802667,cataract,Modifier,D002386
607,10802667,myotonic dystrophy,SpecificDisease,D009223
608,10802667,myotonic dystrophy,SpecificDisease,D009223
609,10802667,multigenic disorder,DiseaseClass,D030342
613,1338764,familial adenomatous polyposis,Modifier,D011125
614,1338764,adenomatous polyposis coli,Modifier,D011125
615,1338764,APC,Modifier,D011125
616,1338764,familial adenomatous polyposis,Modifier,D011125
617,1338764,FAP,Modifier,D011125
618,1338764,APC,Modifier,D011125
619,1338764,APC,Modifier,D011125
620,1338764,FAP,Modifier,D011125
621,1338764,APC,Modifier,D011125
622,1338764,FAP,Modifier,D011125
623,1338764,APC,Modifier,D011125
624,1338764,APC,Modifier,D011125
625,1338764,FAP,Modifier,D011125
629,1999552,deficiency of C5,SpecificDisease,OMIM:609536
630,1999552,discoid lupus erythematosus,SpecificDisease,D008179
631,1999552,discoid lupus erythematosus,SpecificDisease,D008179
632,1999552,Hypocomplementemia,DiseaseClass,D007153
633,1999552,deficiency of C5,SpecificDisease,OMIM:609536
634,1999552,discoid lupus erythematosus,SpecificDisease,D008179
635,1999552,C5 deficiency,SpecificDisease,OMIM:609536
639,10818206,familial mediterranean fever,SpecificDisease,D010505
640,10818206,Familial Mediterranean fever,SpecificDisease,D010505
641,10818206,FMF,SpecificDisease,D010505
642,10818206,recessive disorder,DiseaseClass,D030342
643,10818206,fever,DiseaseClass,D005334
644,10818206,serositis,SpecificDisease,D012700
645,10818206,synovitis,SpecificDisease,D013585
646,10818206,FMF,Modifier,D010505
647,10818206,FMF,Modifier,D010505
651,1684569,Wiskott-Aldrich syndrome,Modifier,D014923
652,1684569,WAS,Modifier,D014923
653,1684569,WAS,SpecificDisease,D014923
654,1684569,thrombocytopenic,Modifier,D013921
655,1684569,Wiskott-Aldrich syndrome,SpecificDisease,D014923
656,1684569,WAS,SpecificDisease,D014923
657,1684569,WAS,Modifier,D014923
658,1684569,WAS,SpecificDisease,D014923
659,1684569,WAS,Modifier,D014923
660,1684569,thrombocytopenia,SpecificDisease,D013921
661,1684569,WAS,SpecificDisease,D014923
662,1684569,WAS,Modifier,D014923
666,10724175,tumour,Modifier,D009369
668,10724175,breast cancer,SpecificDisease,D001943
672,10556285,Spinocerebellar ataxia type-3,SpecificDisease,D017827
673,10556285,Machado-Joseph disease,SpecificDisease,D017827
674,10556285,SCA3,SpecificDisease,D017827
675,10556285,MJD,SpecificDisease,D017827
676,10556285,CAG/polyglutamine repeat disease,DiseaseClass,D030342
677,10556285,polyglutamine disease,DiseaseClass,D030342
678,10556285,neuronal dysfunction,DiseaseClass,D009461
679,10556285,SCA3,SpecificDisease,D017827
680,10556285,MJD,SpecificDisease,D017827
681,10556285,SCA3,SpecificDisease,D017827
682,10556285,MJD,SpecificDisease,D017827
686,10077614,urogenital abnormalities,DiseaseClass,D014564
687,10077614,Denys-Drash syndrome,SpecificDisease,D030321
688,10077614,Wilms tumor,Modifier,D009396
689,10077614,WT1 dysfunction,SpecificDisease,D030342
690,10077614,neoplastic,Modifier,D009369
691,10077614,Wilms tumor,SpecificDisease,D009396
692,10077614,mesothelioma,SpecificDisease,D008654
693,10077614,leukemias,SpecificDisease,D007938
694,10077614,breast cancer,SpecificDisease,D001943
695,10077614,nonneoplastic,Modifier,D004194
696,10077614,glomerulosclerosis,SpecificDisease,D005921
697,10077614,Denys-Drash syndrome,SpecificDisease,D030321
698,10077614,DDS,SpecificDisease,D030321
699,10077614,DDS,SpecificDisease,D030321
700,10077614,nephropathy,SpecificDisease,D007674
701,10077614,mesangial sclerosis,SpecificDisease,C537346
702,10077614,pseudohermaphroditism,SpecificDisease,D012734
703,10077614,Wilms tumor,SpecificDisease,D009396
704,10077614,WT,SpecificDisease,D009396
705,10077614,DDS,Modifier,D030321
706,10077614,mesangial sclerosis,SpecificDisease,C537346
707,10077614,DDS,SpecificDisease,D030321
708,10077614,Male genital defects,DiseaseClass,D005832
709,10077614,Wilms tumor,SpecificDisease,D009396
710,10077614,Wt1 dysfunction,SpecificDisease,D030342
711,10077614,Wilms tumorigenesis,SpecificDisease,D009396
712,10077614,WT,SpecificDisease,D009396
716,7106752,glucose-6-phosphate dehydrogenase (G6PD) deficiency,SpecificDisease,D005955
